***Resultados da Análise***
Data do teste experimental: 2025/02/25
Data tratamento: 16/05/2025
Arquivo Original: example/ID4
Coluna Critério: J Água
Tamanho Mínimo da Janela: 100.0 segundos
Tamanho Máximo da Janela: 150.0 segundos
Tamanho Ótimo da Janela: 100.0 segundos
Média da Janela: 0.2000
Desvio Padrão: 0.0007
Tempo Inicial: 171.20 segundos
Tempo Final: 271.20 segundos
Número de Pontos: 501
***Dados da Janela***
***End_of_Header***
X_Value	PIT-A-0101	PIT-A-0301	PIT-M-0101	PIT-O-0301	PIT-W-0301	PDT-M-0101-40kPa	PDT-M-0101B-10kPa	PDT-M-0101C-3kPa	PIT-A-AUX	Model Pressure Drop	TIT-A-0101	TIT-A-0301	TIT-M-0101	TIT-O-0301	TIT-W-0301	LV-O-0X01	LV-W-0X01	LV-M-0X01	Densitometro	FT-A-0301	FT-A-0302	FT-A-0303	FT-A-0303 1	FT-O-0301	FT-O-0302	FT-O-0303	FT-W-0301	FT-W-0302	J Ar	J Água	Comment
180.800000	7.573603	7.603522	0.359514	0.167598	0.617053	-429.778936	2706.723159	-279.269023	7.308288	20.338460	30.160731	28.329523	31.006297	29.088146	30.577136	-2.905107	1.484334	0.841563	209799.449251	-0.182432	11.334480	-0.022195	0.000000	2.044087	-0.124343	-0.124342	0.000000	1.554800	9.859804	0.199433	nan
181.000000	7.573588	7.602824	0.353279	0.167580	0.609111	-390.718270	2706.748386	-265.490226	7.306986	20.353672	30.159130	28.331929	31.005704	29.088549	30.580028	-2.904937	1.485706	0.841643	209281.281901	-0.186036	11.334445	-0.022250	0.000000	2.045181	-0.124344	-0.124341	0.000000	1.555464	9.904312	0.199519	nan
181.200000	7.573302	7.602364	0.349712	0.168223	0.608626	-339.111770	2706.579993	-234.029606	7.305661	20.357806	30.155116	28.331771	31.006557	29.084426	30.582778	-2.904935	1.484999	0.841576	208605.621037	-0.188837	11.334435	-0.022200	0.000000	2.045203	-0.124345	-0.124342	0.000000	1.555644	9.929990	0.199542	nan
181.400000	7.573024	7.602328	0.348283	0.168442	0.604439	-303.473333	2706.437867	-195.843582	7.304504	20.356922	30.153215	28.329091	31.010936	29.079577	30.584980	-2.904882	1.483638	0.841794	207919.026945	-0.188291	11.334826	-0.022441	0.000000	2.044120	-0.124343	-0.124341	0.000000	1.555606	9.941047	0.199537	nan
181.600000	7.572892	7.602040	0.345681	0.167509	0.603392	-278.158115	2706.387786	-162.941380	7.303278	20.380091	30.155445	28.326962	31.015414	29.078985	30.586851	-2.904781	1.484137	0.842463	207178.978508	-0.184729	11.335469	-0.022580	0.000000	2.043275	-0.124344	-0.124336	0.000000	1.556617	9.960732	0.199667	nan
181.800000	7.572605	7.601262	0.342023	0.166889	0.608078	-248.703437	2706.420133	-138.497353	7.301920	20.421989	30.163203	28.326555	31.011117	29.083134	30.585679	-2.904908	1.485210	0.842253	206920.091789	-0.182249	11.335520	-0.022338	0.000000	2.043231	-0.124344	-0.124336	0.000000	1.558445	9.986902	0.199901	nan
182.000000	7.572098	7.600572	0.339708	0.167169	0.607829	-224.137333	2706.551443	-120.925644	7.300711	20.444597	30.172692	28.328966	31.001231	29.088343	30.580120	-2.905059	1.485383	0.841962	207495.311150	-0.184436	11.335328	-0.022237	0.000000	2.043810	-0.124338	-0.124336	0.000000	1.559431	10.002782	0.200028	nan
182.200000	7.571622	7.600498	0.335092	0.167631	0.610294	-212.509302	2706.622492	-109.038914	7.299492	20.440308	30.176581	28.331541	30.995460	29.092366	30.575951	-2.905063	1.485949	0.842276	208284.070775	-0.188694	11.336016	-0.022424	0.000000	2.044221	-0.124336	-0.124335	0.000000	1.559244	10.037626	0.200004	nan
182.400000	7.571234	7.600691	0.324869	0.168603	0.618444	-185.976516	2706.554991	-102.686194	7.298030	20.430404	30.173566	28.330929	30.999040	29.095450	30.576891	-2.905026	1.486294	0.842231	208965.539886	-0.190747	11.336984	-0.022575	0.000000	2.044413	-0.124341	-0.124336	0.000000	1.558812	10.116335	0.199948	nan
182.600000	7.570935	7.600555	0.312866	0.169757	0.619204	-120.875012	2706.370266	-100.506423	7.296701	20.416114	30.169742	28.328422	31.006140	29.097251	30.578666	-2.905026	1.485105	0.841979	209697.818916	-0.189844	11.336858	-0.022572	0.000000	2.044579	-0.124343	-0.124342	0.000000	1.558189	10.208907	0.199868	nan
182.800000	7.570668	7.600128	0.306271	0.169959	0.615596	-53.044344	2706.348083	-98.600195	7.295700	20.392720	30.170384	28.327416	31.007898	29.096905	30.575938	-2.905075	1.484180	0.842077	210302.002535	-0.186916	11.336263	-0.022596	0.000000	2.044487	-0.124343	-0.124346	0.000000	1.557169	10.259516	0.199737	nan
183.000000	7.570596	7.599907	0.305137	0.169642	0.611347	-39.672353	2706.515657	-94.374807	7.294596	20.374022	30.175182	28.329008	31.001832	29.096976	30.570820	-2.905144	1.484752	0.842363	210798.969580	-0.182925	11.336522	-0.022603	0.000000	2.044409	-0.124344	-0.124346	0.000000	1.556352	10.268140	0.199633	nan
183.200000	7.570422	7.599947	0.303772	0.169675	0.598499	-70.415721	2706.576519	-90.151127	7.293237	20.362329	30.178220	28.331057	30.994141	29.097979	30.566727	-2.905138	1.485058	0.842291	211242.192905	-0.180444	11.337076	-0.022359	0.000000	2.044463	-0.124344	-0.124348	0.000000	1.555842	10.279113	0.199567	nan
183.400000	7.569719	7.599908	0.299515	0.170007	0.583973	-97.507692	2706.633753	-88.278454	7.291962	20.347539	30.173879	28.332092	30.992868	29.093835	30.566233	-2.905053	1.484184	0.841982	211555.276022	-0.181218	11.337095	-0.022163	0.000000	2.044561	-0.124346	-0.124349	0.000000	1.555196	10.312688	0.199484	nan
183.600000	7.569340	7.599797	0.293739	0.169724	0.575489	-98.985609	2706.691679	-87.602959	7.290794	20.335035	30.164163	28.332137	30.994668	29.084821	30.573475	-2.905000	1.483595	0.842183	211852.889967	-0.183790	11.336938	-0.022277	0.000000	2.044594	-0.124346	-0.124343	0.000000	1.554650	10.358532	0.199414	nan
183.800000	7.569746	7.599633	0.293025	0.168308	0.561561	-93.581194	2706.577735	-85.245794	7.289385	20.345422	30.156580	28.330891	30.994576	29.079970	30.583736	-2.904941	1.484014	0.842555	212066.513641	-0.186743	11.336779	-0.022528	0.000000	2.044316	-0.124348	-0.124340	0.000000	1.555104	10.363946	0.199472	nan
184.000000	7.570026	7.599229	0.298359	0.167150	0.544672	-117.789396	2706.364582	-80.099835	7.287960	20.387465	30.154963	28.328819	30.991018	29.081562	30.588212	-2.904869	1.484411	0.842110	212135.165766	-0.188625	11.336448	-0.022725	0.000000	2.043980	-0.124351	-0.124342	0.000000	1.556939	10.320517	0.199708	nan
184.200000	7.569970	7.598781	0.302621	0.166928	0.536145	-169.010073	2706.210739	-74.198271	7.286883	20.431383	30.157017	28.326880	30.981968	29.084852	30.585403	-2.904857	1.484323	0.841825	212188.013147	-0.187216	11.336334	-0.022861	0.000000	2.044224	-0.124347	-0.124341	0.000000	1.558855	10.285857	0.199954	nan
184.400000	7.569908	7.598516	0.302834	0.166836	0.527989	-213.953236	2706.179522	-69.833238	7.285945	20.449304	30.159910	28.326022	30.970504	29.085761	30.580548	-2.904867	1.484282	0.842800	212302.376916	-0.183207	11.336744	-0.022813	0.000000	2.044952	-0.124344	-0.124341	0.000000	1.559636	10.283873	0.200054	nan
184.600000	7.569694	7.598302	0.303677	0.166860	0.522829	-235.770555	2706.197031	-67.118217	7.284802	20.450662	30.161667	28.326867	30.961912	29.083541	30.580102	-2.904856	1.484581	0.843385	212386.100442	-0.181530	11.337087	-0.022527	0.000000	2.044827	-0.124347	-0.124342	0.000000	1.559695	10.276953	0.200061	nan
